COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
08675,SANTA LUCÍA,ATLÁNTICO,379.85704676822473,207.23767938931329,90.62055702880868,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,379.85704676822473,,2026-09-20T17:41:03
08685,SANTO TOMÁS,ATLÁNTICO,376.65103126065134,253.11847215042428,121.93387154787536,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,376.65103126065134,,2026-09-20T17:41:03
08758,SOLEDAD,ATLÁNTICO,150.50929126843022,105.41499581167172,58.51221251828659,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,150.50929126843022,5931.365698134424,2026-09-20T17:41:03
08770,SUAN,ATLÁNTICO,299.7700674691475,160.81132592462225,71.0488209705069,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,299.7700674691475,,2026-09-20T17:41:03
08832,TUBARÁ,ATLÁNTICO,9830.0267275448,8241.90869028972,4977.188180627997,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,9830.0267275448,18270.16187426705,2026-09-20T17:41:03
08849,USIACURÍ,ATLÁNTICO,2954.356394830008,2405.269607882136,1292.4405044600912,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,2954.356394830008,,2026-09-20T17:41:03
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",38362.53341385704,29181.79567529913,15164.049698134992,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,38362.53341385704,,2026-09-20T17:41:03
13001,CARTAGENA DE INDIAS,BOLÍVAR,18325.486973071445,15532.742686777729,10432.825954442376,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,18325.486973071445,,2026-09-20T17:41:03
13006,ACHÍ,BOLÍVAR,69551.82029076066,60410.429116456646,39558.61489012086,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,69551.82029076066,,2026-09-20T17:41:03
13030,ALTOS DEL ROSARIO,BOLÍVAR,18616.33503441926,15068.720176322351,9533.70659160338,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,18616.33503441926,,2026-09-20T17:41:03
