COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest,pixeles_totales
15776,SUTAMARCHÁN,BOYACÁ,1627.11,116299
15778,SUTATENZA,BOYACÁ,879.75,46180
15790,TASCO,BOYACÁ,7825.139999999999,235644
15798,TENZA,BOYACÁ,1347.03,51492
15804,TIBANÁ,BOYACÁ,2823.48,136832
15806,TIBASOSA,BOYACÁ,2577.7799999999997,105345
15808,TINJACÁ,BOYACÁ,3163.41,89629
15810,TIPACOQUE,BOYACÁ,1869.03,80929
15814,TOCA,BOYACÁ,1245.24,189045
15816,TOGÜÍ,BOYACÁ,8637.119999999999,114082
15820,TÓPAGA,BOYACÁ,1777.77,37794
15822,TOTA,BOYACÁ,4306.32,220207
15832,TUNUNGUÁ,BOYACÁ,2900.79,32837
15835,TURMEQUÉ,BOYACÁ,1362.87,89518
15837,TUTA,BOYACÁ,1878.9299999999998,185984
15839,TUTAZÁ,BOYACÁ,4205.97,137169
15842,ÚMBITA,BOYACÁ,4297.7699999999995,164055
15861,VENTAQUEMADA,BOYACÁ,3891.33,179749
15879,VIRACACHÁ,BOYACÁ,1682.55,70302
15897,ZETAQUIRA,BOYACÁ,17505.0,282414
17001,MANIZALES,CALDAS,36904.32,494930
17013,AGUADAS,CALDAS,36850.409999999996,534298
17042,ANSERMA,CALDAS,16456.5,234720
17050,ARANZAZU,CALDAS,13257.81,167903
17088,BELALCÁZAR,CALDAS,9217.08,127189
17174,CHINCHINÁ,CALDAS,10055.25,122702
17272,FILADELFIA,CALDAS,16111.08,216214
17380,LA DORADA,CALDAS,23896.079999999998,617109
17388,LA MERCED,CALDAS,7616.88,99462
17433,MANZANARES,CALDAS,17557.649999999998,222234
17442,MARMATO,CALDAS,2380.41,41410
17444,MARQUETALIA,CALDAS,8414.55,101421
17446,MARULANDA,CALDAS,27673.289999999997,422381
17486,NEIRA,CALDAS,31234.32,414527
17495,NORCASIA,CALDAS,18788.94,255698
17513,PÁCORA,CALDAS,22124.25,288922
17524,PALESTINA,CALDAS,9752.22,125927
17541,PENSILVANIA,CALDAS,43906.95,560674
17614,RIOSUCIO,CALDAS,33056.82,431262
