COD_DANE,NOMBRE_MPI,DPTO_CNMBR,loss_pixels,loss_area_ha
05585,PUERTO NARE,ANTIOQUIA,113,10.17
05591,PUERTO TRIUNFO,ANTIOQUIA,43,3.8699999999999997
05604,REMEDIOS,ANTIOQUIA,858,77.22
05607,RETIRO,ANTIOQUIA,1224,110.16
05615,RIONEGRO,ANTIOQUIA,690,62.099999999999994
05628,SABANALARGA,ANTIOQUIA,712,64.08
05631,SABANETA,ANTIOQUIA,36,3.2399999999999998
05642,SALGAR,ANTIOQUIA,7,0.6299999999999999
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,225,20.25
05649,SAN CARLOS,ANTIOQUIA,1513,136.17
05652,SAN FRANCISCO,ANTIOQUIA,363,32.67
05656,SAN JERÓNIMO,ANTIOQUIA,551,49.589999999999996
05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,1038,93.41999999999999
05659,SAN JUAN DE URABÁ,ANTIOQUIA,71,6.39
05660,SAN LUIS,ANTIOQUIA,71,6.390000000000001
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,511,45.99
05665,SAN PEDRO DE URABÁ,ANTIOQUIA,3923,353.07
05667,SAN RAFAEL,ANTIOQUIA,8296,746.64
08001,BARRANQUILLA,ATLÁNTICO,16,1.44
08078,BARANOA,ATLÁNTICO,101,9.09
08137,CAMPO DE LA CRUZ,ATLÁNTICO,15,1.3499999999999999
08141,CANDELARIA,ATLÁNTICO,38,3.42
08296,GALAPA,ATLÁNTICO,873,78.57
08372,JUAN DE ACOSTA,ATLÁNTICO,52,4.68
08421,LURUACO,ATLÁNTICO,1270,114.3
08433,MALAMBO,ATLÁNTICO,176,15.84
08436,MANATÍ,ATLÁNTICO,27,2.4299999999999997
08520,PALMAR DE VARELA,ATLÁNTICO,116,10.44
08549,PIOJÓ,ATLÁNTICO,89,8.01
08558,POLONUEVO,ATLÁNTICO,1656,149.04
08560,PONEDERA,ATLÁNTICO,724,65.16
08573,PUERTO COLOMBIA,ATLÁNTICO,444,39.959999999999994
08606,REPELÓN,ATLÁNTICO,48,4.319999999999999
08634,SABANAGRANDE,ATLÁNTICO,312,28.08
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",258,23.22
13001,CARTAGENA DE INDIAS,BOLÍVAR,1563,140.67
13006,ACHÍ,BOLÍVAR,1456,131.04
13030,ALTOS DEL ROSARIO,BOLÍVAR,764,68.76
13042,ARENAL,BOLÍVAR,781,70.28999999999999
13052,ARJONA,BOLÍVAR,903,81.27
13062,ARROYOHONDO,BOLÍVAR,195,17.55
13074,BARRANCO DE LOBA,BOLÍVAR,204,18.36
13140,CALAMAR,BOLÍVAR,148,13.319999999999999
13160,CANTAGALLO,BOLÍVAR,95,8.549999999999999
13188,CICUCO,BOLÍVAR,126,11.34
13212,CÓRDOBA,BOLÍVAR,1680,151.2
13222,CLEMENCIA,BOLÍVAR,1152,103.67999999999999
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,641,57.69
13248,EL GUAMO,BOLÍVAR,1361,122.49
13268,EL PEÑÓN,BOLÍVAR,365,32.849999999999994
13300,HATILLO DE LOBA,BOLÍVAR,737,66.33
13430,MAGANGUÉ,BOLÍVAR,924,83.16
13433,MAHATES,BOLÍVAR,3116,280.44
13440,MARGARITA,BOLÍVAR,10064,905.76
13442,MARÍA LA BAJA,BOLÍVAR,2653,238.76999999999998
13458,MONTECRISTO,BOLÍVAR,121,10.889999999999999
13468,SANTA CRUZ DE MOMPOX,BOLÍVAR,45,4.05
13473,MORALES,BOLÍVAR,29,2.6100000000000003
13490,NOROSÍ,BOLÍVAR,8,0.72
13549,PINILLOS,BOLÍVAR,70,6.3
13580,REGIDOR,BOLÍVAR,16,1.44
13600,RÍO VIEJO,BOLÍVAR,19,1.71
13620,SAN CRISTÓBAL,BOLÍVAR,1732,155.88
13647,SAN ESTANISLAO,BOLÍVAR,5017,451.53
13650,SAN FERNANDO,BOLÍVAR,8611,774.99
13654,SAN JACINTO,BOLÍVAR,1262,113.58
13655,SAN JACINTO DEL CAUCA,BOLÍVAR,4639,417.51
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,707,63.629999999999995
13667,SAN MARTÍN DE LOBA,BOLÍVAR,396,35.64
13670,SAN PABLO,BOLÍVAR,2593,233.37
13673,SANTA CATALINA,BOLÍVAR,5701,513.0899999999999
13683,SANTA ROSA,BOLÍVAR,197,17.729999999999997
13688,SANTA ROSA DEL SUR,BOLÍVAR,27,2.4299999999999997
13744,SIMITÍ,BOLÍVAR,3940,354.59999999999997
13760,SOPLAVIENTO,BOLÍVAR,239,21.509999999999998
13780,TALAIGUA NUEVO,BOLÍVAR,46,4.14
13810,TIQUISIO,BOLÍVAR,37,3.33
13836,TURBACO,BOLÍVAR,208,18.72
13838,TURBANA,BOLÍVAR,51,4.59
13873,VILLANUEVA,BOLÍVAR,1158,104.22
13894,ZAMBRANO,BOLÍVAR,49,4.41
15001,TUNJA,BOYACÁ,1111,99.99
15022,ALMEIDA,BOYACÁ,1117,100.53
15047,AQUITANIA,BOYACÁ,30,2.7
15051,ARCABUCO,BOYACÁ,19,1.71
15087,BELÉN,BOYACÁ,20,1.7999999999999998
15090,BERBEO,BOYACÁ,61,5.49
