COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos
05885,YALÍ,ANTIOQUIA,39602.77585611651,37455.89418784736,33129.27037463376,
05887,YARUMAL,ANTIOQUIA,60332.599671870754,54271.13773955251,41805.56039905455,
05890,YOLOMBÓ,ANTIOQUIA,84206.46973610451,78716.08068533917,68842.82810453752,
05893,YONDÓ,ANTIOQUIA,141246.12320974073,130468.61112680924,110594.37730795109,
05895,ZARAGOZA,ANTIOQUIA,98286.4329715481,93996.6474527418,85664.24303750708,
08001,BARRANQUILLA,ATLÁNTICO,737.31288595806,377.3854803153724,92.11616516714048,
08078,BARANOA,ATLÁNTICO,2469.655561946733,1967.986650412925,1013.7843381442638,
08137,CAMPO DE LA CRUZ,ATLÁNTICO,329.0862903946703,152.1252614925611,51.15719156259572,
08141,CANDELARIA,ATLÁNTICO,513.3986908874272,263.0469155169075,36.36962972330729,
08296,GALAPA,ATLÁNTICO,2183.67598302775,1613.119189380381,614.2647341206856,
08372,JUAN DE ACOSTA,ATLÁNTICO,5424.481426073513,4308.500076025768,2371.617934824192,
08421,LURUACO,ATLÁNTICO,7817.555880691046,6764.175175542713,4580.359743836091,
08433,MALAMBO,ATLÁNTICO,1076.855747853387,793.6218335331439,335.44986942701115,
08436,MANATÍ,ATLÁNTICO,2137.868459042704,1514.5999239553637,632.1469368974975,
08520,PALMAR DE VARELA,ATLÁNTICO,630.175143826715,403.9614447941336,98.66622010076767,
08549,PIOJÓ,ATLÁNTICO,9249.111427797348,7803.15935013141,4942.319849515278,
08558,POLONUEVO,ATLÁNTICO,336.51002897817546,206.84134460394168,55.2897339988081,
08560,PONEDERA,ATLÁNTICO,894.0705469018308,564.0161930721508,227.56895568019485,
08573,PUERTO COLOMBIA,ATLÁNTICO,1919.789266897674,1434.925379223721,672.4109270561441,
08606,REPELÓN,ATLÁNTICO,9897.562051519097,8660.476689387395,5750.744618633236,
08634,SABANAGRANDE,ATLÁNTICO,174.5473416837567,133.6080669652843,94.39627045943934,
08638,SABANALARGA,ATLÁNTICO,4854.168290075294,3414.88994309656,1189.5384344026927,
08675,SANTA LUCÍA,ATLÁNTICO,379.85704676822473,207.23767938931329,90.62055702880868,
08685,SANTO TOMÁS,ATLÁNTICO,376.65103126065134,253.11847215042428,121.93387154787536,
08758,SOLEDAD,ATLÁNTICO,150.50929126843022,105.41499581167172,58.51221251828659,
08770,SUAN,ATLÁNTICO,299.7700674691475,160.81132592462225,71.0488209705069,
08832,TUBARÁ,ATLÁNTICO,9830.0267275448,8241.90869028972,4977.188180627997,
08849,USIACURÍ,ATLÁNTICO,2954.356394830008,2405.269607882136,1292.4405044600912,
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",38362.53341385704,29181.79567529913,15164.049698134992,
13001,CARTAGENA DE INDIAS,BOLÍVAR,18325.486973071445,15532.742686777729,10432.825954442376,
13006,ACHÍ,BOLÍVAR,69551.82029076066,60410.429116456646,39558.61489012086,
13030,ALTOS DEL ROSARIO,BOLÍVAR,18616.33503441926,15068.720176322351,9533.70659160338,
13042,ARENAL,BOLÍVAR,41185.62358148595,39938.36195205578,36472.78908389466,
13052,ARJONA,BOLÍVAR,15064.121597936371,12730.553132043717,9335.261919122897,
13062,ARROYOHONDO,BOLÍVAR,2518.9814869640145,1921.9402405703563,956.7786575656564,
13074,BARRANCO DE LOBA,BOLÍVAR,26423.59063504557,21950.5222631907,14519.12073143744,
13140,CALAMAR,BOLÍVAR,5606.884641236994,4561.609874313474,2864.803588621824,
13160,CANTAGALLO,BOLÍVAR,81498.27815615221,79151.57202354055,73401.49711606142,
13188,CICUCO,BOLÍVAR,3130.222985825806,2315.9839637871446,829.9184900789857,
13212,CÓRDOBA,BOLÍVAR,19155.066891569903,16816.48836617374,11287.680342553516,
13222,CLEMENCIA,BOLÍVAR,3357.194089405215,2787.7209256095875,1647.353319001205,
