COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,px_bosque_tc30,baseline_forest_tc50,baseline_forest_tc75,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
41349,HOBO,HUILA,8375.140013387796,93147,6612.152071559025,4956.23432600476,local:Colombia_treecover2000.tif,Colombia_treecover2000,8375.140013387796,19416.719990071644,2026-09-20T09:50:08
41357,ÍQUIRA,HUILA,27169.220668810816,302218,24558.93728822776,20812.74354608962,local:Colombia_treecover2000.tif,Colombia_treecover2000,27169.220668810816,35644.7017975258,2026-09-20T09:50:08
41359,ISNOS,HUILA,30402.33506670351,338012,26796.784048204467,19651.967389617042,local:Colombia_treecover2000.tif,Colombia_treecover2000,30402.33506670351,37072.86939378761,2026-09-20T09:50:08
41378,LA ARGENTINA,HUILA,32284.672990141815,358979,30592.281256151873,25181.35255895357,local:Colombia_treecover2000.tif,Colombia_treecover2000,32284.672990141815,35645.76586151131,2026-09-20T09:50:08
41396,LA PLATA,HUILA,66498.26587805376,739480,59654.23442709424,49167.91577618755,local:Colombia_treecover2000.tif,Colombia_treecover2000,66498.26587805376,81467.1354565462,2026-09-20T09:50:08
41483,NÁTAGA,HUILA,11207.03749119216,124649,9342.466542673516,7422.988671540479,local:Colombia_treecover2000.tif,Colombia_treecover2000,11207.03749119216,13192.458585389131,2026-09-20T09:50:08
41503,OPORAPA,HUILA,13579.57826341169,150982,12573.393827339147,10641.345090616549,local:Colombia_treecover2000.tif,Colombia_treecover2000,13579.57826341169,15582.072211973285,2026-09-20T09:50:08
41518,PAICOL,HUILA,15121.703498046732,168167,9944.45163979915,6105.032988955783,local:Colombia_treecover2000.tif,Colombia_treecover2000,15121.703498046732,27826.74235970798,2026-09-20T09:50:08
41524,PALERMO,HUILA,40278.797491344674,448129,30234.02349035992,20087.086542218378,local:Colombia_treecover2000.tif,Colombia_treecover2000,40278.797491344674,88395.68902234209,2026-09-20T09:50:08
41530,PALESTINA,HUILA,18607.263270782078,206836,18075.242057631345,16602.314815939866,local:Colombia_treecover2000.tif,Colombia_treecover2000,18607.263270782078,19696.122928763907,2026-09-20T09:50:08
41548,PITAL,HUILA,11939.925554487105,132770,10078.909827658365,7688.66668719926,local:Colombia_treecover2000.tif,Colombia_treecover2000,11939.925554487105,19364.327461167737,2026-09-20T09:50:08
41551,PITALITO,HUILA,50669.722055413295,563282,45691.32879397342,38211.83425289615,local:Colombia_treecover2000.tif,Colombia_treecover2000,50669.722055413295,63073.16616025839,2026-09-20T09:50:08
41615,RIVERA,HUILA,14923.026696330588,166005,13121.123741808427,10942.548540825346,local:Colombia_treecover2000.tif,Colombia_treecover2000,14923.026696330588,25110.959736216195,2026-09-20T09:50:08
41660,SALADOBLANCO,HUILA,44545.274404655174,495281,43158.90252256052,37713.41206443612,local:Colombia_treecover2000.tif,Colombia_treecover2000,44545.274404655174,46672.71648000113,2026-09-20T09:50:08
41668,SAN AGUSTÍN,HUILA,132058.58307453443,1468148,126708.84279028843,103114.34658142593,local:Colombia_treecover2000.tif,Colombia_treecover2000,132058.58307453443,139085.04600442527,2026-09-20T09:50:08
41676,SANTA MARÍA,HUILA,28667.200170460077,318940,26753.69852115964,22457.842859381406,local:Colombia_treecover2000.tif,Colombia_treecover2000,28667.200170460077,33930.52175805932,2026-09-20T09:50:08
41770,SUAZA,HUILA,32237.213365769952,358381,28304.837648180743,23595.97197224337,local:Colombia_treecover2000.tif,Colombia_treecover2000,32237.213365769952,42962.34722777938,2026-09-20T09:50:08
41791,TARQUI,HUILA,22244.202177218194,247329,17860.165796394347,12823.278715183918,local:Colombia_treecover2000.tif,Colombia_treecover2000,22244.202177218194,36279.09168627186,2026-09-20T09:50:08
41797,TESALIA,HUILA,16049.853648491266,178507,10514.66401031506,5952.16826811469,local:Colombia_treecover2000.tif,Colombia_treecover2000,16049.853648491266,36695.72257725735,2026-09-20T09:50:08
41799,TELLO,HUILA,29919.721659879782,332899,25319.08144454997,18869.910604159577,local:Colombia_treecover2000.tif,Colombia_treecover2000,29919.721659879782,53012.22676949645,2026-09-20T09:50:08
41801,TERUEL,HUILA,36721.57739307001,408517,34012.56223794629,24927.630598797045,local:Colombia_treecover2000.tif,Colombia_treecover2000,36721.57739307001,47165.62079215154,2026-09-20T09:50:08
41807,TIMANÁ,HUILA,15146.887682996758,168396,13598.279138972048,10800.842327761122,local:Colombia_treecover2000.tif,Colombia_treecover2000,15146.887682996758,18572.16266950623,2026-09-20T09:50:08
