Project ID,Project Name,Project Stage,Project URL,Duration start,Duration end,n_matches,cod_dane,municipio
CDC-52,Makaro Ap+ro,Certified,https://www.ecoregistry.io/projects/52,2018-01-01,2047-12-31,0,,
CDC-213,Agua Fresca Multipurpose and Environmental Services Project,Certified,https://www.ecoregistry.io/projects/213,2007-01-01,2057-12-01,3,15368;5368;73547,JERICO;PIEDRAS
CDC-166,Proyecto Agrupado Bio D S.A,Certified,https://www.ecoregistry.io/projects/166,,,0,,
CDC-166,Proyecto Agrupado Bio D S.A,Certified,https://www.ecoregistry.io/projects/166,,,0,,
CDC-61,COCOMAN FRONTERA REDD+,Certified,https://www.ecoregistry.io/projects/61,2016-01-01,2045-12-31,2,27372;27491,JURADO;NOVITA
CDC-61,COCOMAN FRONTERA REDD+,Certified,https://www.ecoregistry.io/projects/61,2016-01-01,2045-12-31,2,27372;27491,JURADO;NOVITA
CDC-90,Veolia LFG PTA Presidente landfill,Certified,https://www.ecoregistry.io/projects/90,,,0,,
CDC-90,Veolia LFG PTA Presidente landfill,Certified,https://www.ecoregistry.io/projects/90,,,0,,
CDC-90,Veolia LFG PTA Presidente landfill,Certified,https://www.ecoregistry.io/projects/90,,,0,,
CDC-40,Proyecto Hidroeléctrico El Salto II,Certified,https://www.ecoregistry.io/projects/40,,,7,17665;25386;25483;25645;52480;5483;73675,LA MESA;NARINO;SAN ANTONIO;SAN ANTONIO DEL TEQUENDAMA;SAN JOSE
CDC-40,Proyecto Hidroeléctrico El Salto II,Certified,https://www.ecoregistry.io/projects/40,,,7,17665;25386;25483;25645;52480;5483;73675,LA MESA;NARINO;SAN ANTONIO;SAN ANTONIO DEL TEQUENDAMA;SAN JOSE
CDC-40,Proyecto Hidroeléctrico El Salto II,Certified,https://www.ecoregistry.io/projects/40,,,7,17665;25386;25483;25645;52480;5483;73675,LA MESA;NARINO;SAN ANTONIO;SAN ANTONIO DEL TEQUENDAMA;SAN JOSE
CDC-39,Proyecto Hidroeléctrico Dario Valencia Samper,Certified,https://www.ecoregistry.io/projects/39,2015-10-01,2035-09-30,3,23855;25245;25386,EL COLEGIO;LA MESA;VALENCIA
CDC-39,Proyecto Hidroeléctrico Dario Valencia Samper,Certified,https://www.ecoregistry.io/projects/39,2015-10-01,2035-09-30,3,23855;25245;25386,EL COLEGIO;LA MESA;VALENCIA
CDC-39,Proyecto Hidroeléctrico Dario Valencia Samper,Certified,https://www.ecoregistry.io/projects/39,2015-10-01,2035-09-30,3,23855;25245;25386,EL COLEGIO;LA MESA;VALENCIA
CDC-38,"Proyecto Hidroeléctrico Tequendama 1, 2, 3 y 4",Certified,https://www.ecoregistry.io/projects/38,,,7,17665;25386;25483;25645;52480;5483;73675,LA MESA;NARINO;SAN ANTONIO;SAN ANTONIO DEL TEQUENDAMA;SAN JOSE
CDC-38,"Proyecto Hidroeléctrico Tequendama 1, 2, 3 y 4",Certified,https://www.ecoregistry.io/projects/38,,,7,17665;25386;25483;25645;52480;5483;73675,LA MESA;NARINO;SAN ANTONIO;SAN ANTONIO DEL TEQUENDAMA;SAN JOSE
