project_id,name,proponent,project_url,registry
VCS1765,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,Corporación Autónoma Regional del Río Grande de la Magdalena (CORMAGDALENA),https://registry.verra.org/app/projectDetail/VCS/1765,verra
VCS1723,Escuela de Minas Hydroelectric Project,HIDROELECTRICA DEL ALTO PORCE S.A.S E.S.P,https://registry.verra.org/app/projectDetail/VCS/1723,verra
VCS1695,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,Local Environmental Authority of Chivor (CORPOCHIVOR– Corporación Autónoma Regional de Chivor),https://registry.verra.org/app/projectDetail/VCS/1695,verra
VCS1682,Regenerating Colombian Coffee Ecosystems,The PURE PROJECT SAS,https://registry.verra.org/app/projectDetail/VCS/1682,verra
VCS1173,San Andres Hydroelectric project,Celsia Colombia S.A. E.S.P.,https://registry.verra.org/app/projectDetail/VCS/1173,verra
VCS1657,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",Fundación Natura,https://registry.verra.org/app/projectDetail/VCS/1657,verra
VCS856,The Chocó-Darién Conservation Corridor REDD Project,Anthrotect S.A.S.,https://registry.verra.org/app/projectDetail/VCS/856,verra
VCS1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1395,verra
VCS576,"Restoration of degraded areas and reforestation in Cáceres and Cravo Norte, Colombia",Asorpar Ltd.,https://registry.verra.org/app/projectDetail/VCS/576,verra
VCS1566,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1566,verra
VCS1390,Carmen del Darién (CDD) REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1390,verra
VCS1396,Rio Pepe y ACABA REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1396,verra
VCS1562,Hydroelectric Project Aures Bajo,Aures Bajo S.A E.S.P,https://registry.verra.org/app/projectDetail/VCS/1562,verra
VCS1400,Concosta REDD+ Project,Concosta Community Council,https://registry.verra.org/app/projectDetail/VCS/1400,verra
VCS1391,SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1391,verra
VCS1389,Acapa -­ Bajo Mira Y Frontera REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1389,verra
VCS1392,Cajambre REDD+ Project,Consejo Comunitario del Río Cajambre,https://registry.verra.org/app/projectDetail/VCS/1392,verra
VCS1399,Mutatá REDD+ Project,Cabildo Mayor Indígena de Mutatá,https://registry.verra.org/app/projectDetail/VCS/1399,verra
VCS1065,HYDROELECTRIC PROJECT ITUANGO,Empresas Públicas de Medellín E.S.P,https://registry.verra.org/app/projectDetail/VCS/1065,verra
VCS1530,Grouped Project for Commercial Forest Plantations Initiatives in the Department of Vichada,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1530,verra
VCS1524,AXIA Energia Cogeneration Project in Familia,AXIA Energia,https://registry.verra.org/app/projectDetail/VCS/1524,verra
VCS1206,Montanitas Hydroelectric Project,Celsia Colombia S.A. E.S.P.,https://registry.verra.org/app/projectDetail/VCS/1206,verra
VCS1473,Hydroelectric Project MULATOS II,Energía del Suroeste S.A E.S.P,https://registry.verra.org/app/projectDetail/VCS/1473,verra
VCS1233,Reforestation with Rubber on degraded lands of Colombia,NACOBENA SAS,https://registry.verra.org/app/projectDetail/VCS/1233,verra
VCS1378,"Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1378,verra
VCS1434,Forestry Project “More Forests for Medellin”,Secretaría del Medio Ambiente del Municipio de Medellín,https://registry.verra.org/app/projectDetail/VCS/1434,verra
VCS1429,Recovery of degraded areas with agroforestry systems in Colombia,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1429,verra
ART108,Amazon Region,Ministerio de Ambiente y Desarrollo Sostenible,https://art.apx.com/mymodule/reg/prjView.asp?id1=108,art-trees
CCB1,Carbono Agroporvanda,Agroporvanda S.A.S,https://www.ecoregistry.io/projects/CDC-1,cercarbono
CCB2,Carbono Agrorios,Inversiones Agrorios S.A,https://www.ecoregistry.io/projects/CDC-2,cercarbono
CCB3,Carbono Flor y Nuevo,Fernando Escorcia Aramburo,https://www.ecoregistry.io/projects/CDC-3,cercarbono
CCB4,Carbono Paja Perdida,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-4,cercarbono
CCB5,Carbono La Puya y San Lorenzo,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-5,cercarbono
CCB6,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-6,cercarbono
CCB7,Reforestación Comercial en Meta,South Pole Carbon Asset Management,https://www.ecoregistry.io/projects/CDC-7,cercarbono
CCB8,Proyecto forestal de mitigación de cambio climático “Forestal de La Orinoquía”,Forest First Colombia S.A.S.,https://www.ecoregistry.io/projects/CDC-8,cercarbono
CCB9,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-9,cercarbono
